# Test done: 2024_10_28_12_57_45 - time taken: 493.4919717311859 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.869451000000000000e+06,1.000000000000000000e+07,9.869451000000000196e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.818450000000000000e+06,1.000000000000000000e+07,9.818449999999999678e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.195944000000000000e+06,1.000000000000000000e+07,9.195944000000000340e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.957851000000000000e+06,1.000000000000000000e+07,7.957851000000000230e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.540093000000000000e+06,1.000000000000000000e+07,4.540093000000000045e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.342415000000000000e+06,1.000000000000000000e+07,1.342415000000000136e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.661980000000000000e+05,1.000000000000000000e+07,2.661979999999999902e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.494600000000000000e+04,1.000000000000000000e+07,4.494599999999999637e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.559000000000000000e+03,1.000000000000000000e+07,5.559000000000000139e-04
7.000000000000000000e+00,8.000000000000000000e+00,6.100000000000000000e+02,1.000000000000000000e+07,6.099999999999999872e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.160000000000000000e+02,1.000000000000000000e+07,2.159999999999999987e-05
