# Test done: 2024_10_30_09_26_14 - time taken: 349.0971026420593 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.897614000000000000e+06,1.000000000000000000e+07,9.897614000000000134e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.814689000000000000e+06,1.000000000000000000e+07,9.814688999999999774e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.203102000000000000e+06,1.000000000000000000e+07,9.203101999999999672e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.027606000000000000e+06,1.000000000000000000e+07,7.027605999999999575e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.884485000000000000e+06,1.000000000000000000e+07,4.884485000000000077e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.624642000000000000e+06,1.000000000000000000e+07,1.624642000000000031e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.423530000000000000e+05,1.000000000000000000e+07,4.423529999999999823e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.941600000000000000e+04,1.000000000000000000e+07,6.941600000000000027e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.307800000000000000e+04,1.000000000000000000e+07,1.307800000000000021e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.839000000000000000e+03,1.000000000000000000e+07,2.839000000000000161e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.311000000000000000e+03,1.000000000000000000e+07,1.310999999999999882e-04
