# Test done: 2024_10_20_19_04_39 - time taken: 388.4190969467163 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.895657000000000000e+06,1.000000000000000000e+07,9.895656999999999925e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.832603000000000000e+06,1.000000000000000000e+07,9.832602999999999760e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.165347000000000000e+06,1.000000000000000000e+07,9.165347000000000355e-01
7.000000000000000000e+00,-4.000000000000000000e+00,6.789463000000000000e+06,1.000000000000000000e+07,6.789463000000000026e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.269699000000000000e+06,1.000000000000000000e+07,4.269699000000000133e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.751715000000000000e+06,1.000000000000000000e+07,1.751715000000000078e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.160880000000000000e+05,1.000000000000000000e+07,4.160880000000000134e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.944200000000000000e+04,1.000000000000000000e+07,6.944200000000000199e-03
7.000000000000000000e+00,6.000000000000000000e+00,9.078000000000000000e+03,1.000000000000000000e+07,9.077999999999999481e-04
7.000000000000000000e+00,8.000000000000000000e+00,3.156000000000000000e+03,1.000000000000000000e+07,3.155999999999999734e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.142000000000000000e+03,1.000000000000000000e+07,1.141999999999999976e-04
