# Test done: 2024_10_28_13_07_20 - time taken: 436.0726671218872 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.885584000000000000e+06,1.000000000000000000e+07,9.885583999999999483e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.767476000000000000e+06,1.000000000000000000e+07,9.767476000000000491e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.094465000000000000e+06,1.000000000000000000e+07,9.094465000000000465e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.209707000000000000e+06,1.000000000000000000e+07,7.209706999999999644e-01
7.000000000000000000e+00,-2.000000000000000000e+00,5.387023000000000000e+06,1.000000000000000000e+07,5.387022999999999673e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.842571000000000000e+06,1.000000000000000000e+07,1.842571000000000070e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.981020000000000000e+05,1.000000000000000000e+07,2.981019999999999850e-02
7.000000000000000000e+00,4.000000000000000000e+00,5.473500000000000000e+04,1.000000000000000000e+07,5.473500000000000067e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.206200000000000000e+04,1.000000000000000000e+07,1.206199999999999937e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.523000000000000000e+03,1.000000000000000000e+07,2.523000000000000069e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.016000000000000000e+03,1.000000000000000000e+07,1.016000000000000030e-04
