# Test done: 2024_10_20_17_22_44 - time taken: 354.7245969772339 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.882696000000000000e+06,1.000000000000000000e+07,9.882695999999999703e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.800682000000000000e+06,1.000000000000000000e+07,9.800681999999999450e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.134651000000000000e+06,1.000000000000000000e+07,9.134651000000000298e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.106991000000000000e+06,1.000000000000000000e+07,7.106991000000000280e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.348093000000000000e+06,1.000000000000000000e+07,4.348093000000000097e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.635189000000000000e+06,1.000000000000000000e+07,1.635188999999999948e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.964830000000000000e+05,1.000000000000000000e+07,3.964829999999999743e-02
7.000000000000000000e+00,4.000000000000000000e+00,5.381800000000000000e+04,1.000000000000000000e+07,5.381799999999999952e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.296200000000000000e+04,1.000000000000000000e+07,1.296199999999999956e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.942000000000000000e+03,1.000000000000000000e+07,2.941999999999999954e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.110000000000000000e+03,1.000000000000000000e+07,1.110000000000000011e-04
