# Test done: 2024_10_17_09_33_32 - time taken: 461.2512140274048 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.872289000000000000e+06,1.000000000000000000e+07,9.872288999999999648e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.800471000000000000e+06,1.000000000000000000e+07,9.800470999999999488e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.215470000000000000e+06,1.000000000000000000e+07,9.215470000000000050e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.318284000000000000e+06,1.000000000000000000e+07,7.318284000000000455e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.142998000000000000e+06,1.000000000000000000e+07,4.142997999999999958e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.700135000000000000e+06,1.000000000000000000e+07,1.700135000000000118e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.368380000000000000e+05,1.000000000000000000e+07,3.368379999999999985e-02
7.000000000000000000e+00,4.000000000000000000e+00,3.744300000000000000e+04,1.000000000000000000e+07,3.744299999999999885e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.559000000000000000e+03,1.000000000000000000e+07,5.559000000000000139e-04
7.000000000000000000e+00,8.000000000000000000e+00,8.110000000000000000e+02,1.000000000000000000e+07,8.110000000000000618e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.410000000000000000e+02,1.000000000000000000e+07,2.409999999999999965e-05
