# Test done: 2024_10_18_12_20_11 - time taken: 486.83915972709656 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.875975000000000000e+06,1.000000000000000000e+07,9.875975000000000170e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.811485000000000000e+06,1.000000000000000000e+07,9.811484999999999790e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.040286000000000000e+06,1.000000000000000000e+07,9.040285999999999600e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.172548000000000000e+06,1.000000000000000000e+07,7.172547999999999702e-01
7.000000000000000000e+00,-2.000000000000000000e+00,3.782148000000000000e+06,1.000000000000000000e+07,3.782148000000000176e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.410445000000000000e+06,1.000000000000000000e+07,1.410444999999999893e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.391250000000000000e+05,1.000000000000000000e+07,3.391249999999999820e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.494300000000000000e+04,1.000000000000000000e+07,6.494299999999999726e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.156300000000000000e+04,1.000000000000000000e+07,1.156300000000000079e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.767000000000000000e+03,1.000000000000000000e+07,2.767000000000000037e-04
7.000000000000000000e+00,1.000000000000000000e+01,9.290000000000000000e+02,1.000000000000000000e+07,9.289999999999999484e-05
