# Test done: 2024_10_17_11_34_59 - time taken: 475.3925971984863 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.874898000000000000e+06,1.000000000000000000e+07,9.874897999999999731e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.796342000000000000e+06,1.000000000000000000e+07,9.796342000000000105e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.224062000000000000e+06,1.000000000000000000e+07,9.224061999999999539e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.149063000000000000e+06,1.000000000000000000e+07,7.149062999999999946e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.256440000000000000e+06,1.000000000000000000e+07,4.256440000000000223e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.560126000000000000e+06,1.000000000000000000e+07,1.560126000000000013e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.162460000000000000e+05,1.000000000000000000e+07,3.162460000000000271e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.249600000000000000e+04,1.000000000000000000e+07,4.249600000000000079e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.912000000000000000e+03,1.000000000000000000e+07,5.911999999999999504e-04
7.000000000000000000e+00,8.000000000000000000e+00,9.860000000000000000e+02,1.000000000000000000e+07,9.859999999999999787e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.260000000000000000e+02,1.000000000000000000e+07,2.260000000000000046e-05
