# Test done: 2024_10_21_13_57_42 - time taken: 457.4506130218506 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.873386000000000000e+06,1.000000000000000000e+07,9.873385999999999552e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.812098000000000000e+06,1.000000000000000000e+07,9.812098000000000209e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.084294000000000000e+06,1.000000000000000000e+07,9.084294000000000535e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.220972000000000000e+06,1.000000000000000000e+07,7.220971999999999946e-01
7.000000000000000000e+00,-2.000000000000000000e+00,2.712471000000000000e+06,1.000000000000000000e+07,2.712471000000000187e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.360404000000000000e+06,1.000000000000000000e+07,1.360404000000000058e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.956140000000000000e+05,1.000000000000000000e+07,3.956139999999999657e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.717200000000000000e+04,1.000000000000000000e+07,6.717200000000000427e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.404000000000000000e+04,1.000000000000000000e+07,1.404000000000000083e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.674000000000000000e+03,1.000000000000000000e+07,2.673999999999999945e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.019000000000000000e+03,1.000000000000000000e+07,1.018999999999999968e-04
