# Test done: 2024_10_17_16_28_01 - time taken: 552.923023223877 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.874856000000000000e+06,1.000000000000000000e+07,9.874855999999999634e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.823822000000000000e+06,1.000000000000000000e+07,9.823821999999999832e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.197362000000000000e+06,1.000000000000000000e+07,9.197362000000000037e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.132763000000000000e+06,1.000000000000000000e+07,7.132762999999999742e-01
7.000000000000000000e+00,-2.000000000000000000e+00,3.841492000000000000e+06,1.000000000000000000e+07,3.841492000000000240e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.236097000000000000e+06,1.000000000000000000e+07,1.236097000000000029e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.099790000000000000e+05,1.000000000000000000e+07,2.099789999999999990e-02
7.000000000000000000e+00,4.000000000000000000e+00,3.684400000000000000e+04,1.000000000000000000e+07,3.684400000000000001e-03
7.000000000000000000e+00,6.000000000000000000e+00,3.165000000000000000e+03,1.000000000000000000e+07,3.164999999999999953e-04
7.000000000000000000e+00,8.000000000000000000e+00,3.710000000000000000e+02,1.000000000000000000e+07,3.710000000000000054e-05
7.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+07,5.000000000000000409e-06
