# Test done: 2024_10_17_09_42_31 - time taken: 452.02631402015686 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.870871000000000000e+06,1.000000000000000000e+07,9.870870999999999951e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.813973000000000000e+06,1.000000000000000000e+07,9.813973000000000280e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.282305000000000000e+06,1.000000000000000000e+07,9.282304999999999584e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.331396000000000000e+06,1.000000000000000000e+07,7.331396000000000024e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.096870000000000000e+06,1.000000000000000000e+07,4.096870000000000234e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.390677000000000000e+06,1.000000000000000000e+07,1.390676999999999885e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.834230000000000000e+05,1.000000000000000000e+07,2.834230000000000083e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.577800000000000000e+04,1.000000000000000000e+07,4.577799999999999925e-03
7.000000000000000000e+00,6.000000000000000000e+00,4.926000000000000000e+03,1.000000000000000000e+07,4.926000000000000474e-04
7.000000000000000000e+00,8.000000000000000000e+00,9.120000000000000000e+02,1.000000000000000000e+07,9.119999999999999418e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.570000000000000000e+02,1.000000000000000000e+07,2.570000000000000127e-05
