# Test done: 2024_10_18_12_09_35 - time taken: 510.386990070343 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.867446000000000000e+06,1.000000000000000000e+07,9.867445999999999717e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.817318000000000000e+06,1.000000000000000000e+07,9.817318000000000433e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.105388000000000000e+06,1.000000000000000000e+07,9.105387999999999815e-01
7.000000000000000000e+00,-4.000000000000000000e+00,6.991778000000000000e+06,1.000000000000000000e+07,6.991777999999999604e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.578100000000000000e+06,1.000000000000000000e+07,4.578099999999999947e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.707708000000000000e+06,1.000000000000000000e+07,1.707708000000000004e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.127470000000000000e+05,1.000000000000000000e+07,4.127469999999999750e-02
7.000000000000000000e+00,4.000000000000000000e+00,9.157300000000000000e+04,1.000000000000000000e+07,9.157300000000000162e-03
7.000000000000000000e+00,6.000000000000000000e+00,2.031100000000000000e+04,1.000000000000000000e+07,2.031100000000000093e-03
7.000000000000000000e+00,8.000000000000000000e+00,5.296000000000000000e+03,1.000000000000000000e+07,5.295999999999999710e-04
7.000000000000000000e+00,1.000000000000000000e+01,2.612000000000000000e+03,1.000000000000000000e+07,2.612000000000000064e-04
