# Test done: 2024_10_21_15_06_45 - time taken: 434.8806698322296 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.881977000000000000e+06,1.000000000000000000e+07,9.881976999999999567e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.836728000000000000e+06,1.000000000000000000e+07,9.836728000000000138e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.077035000000000000e+06,1.000000000000000000e+07,9.077034999999999965e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.209742000000000000e+06,1.000000000000000000e+07,7.209742000000000095e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.284693000000000000e+06,1.000000000000000000e+07,4.284692999999999974e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.581760000000000000e+06,1.000000000000000000e+07,1.581760000000000110e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.902350000000000000e+05,1.000000000000000000e+07,3.902350000000000263e-02
7.000000000000000000e+00,4.000000000000000000e+00,5.668400000000000000e+04,1.000000000000000000e+07,5.668399999999999654e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.109600000000000000e+04,1.000000000000000000e+07,1.109600000000000083e-03
7.000000000000000000e+00,8.000000000000000000e+00,3.006000000000000000e+03,1.000000000000000000e+07,3.005999999999999883e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.071000000000000000e+03,1.000000000000000000e+07,1.071000000000000012e-04
