# Test done: 2024_10_17_10_51_02 - time taken: 8.29817271232605 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,1.943910000000000000e+05,2.000000000000000000e+05,9.719550000000000134e-01
7.000000000000000000e+00,-8.000000000000000000e+00,1.983830000000000000e+05,2.000000000000000000e+05,9.919149999999999912e-01
7.000000000000000000e+00,-6.000000000000000000e+00,1.663880000000000000e+05,2.000000000000000000e+05,8.319400000000000128e-01
7.000000000000000000e+00,-4.000000000000000000e+00,1.896520000000000000e+05,2.000000000000000000e+05,9.482599999999999918e-01
7.000000000000000000e+00,-2.000000000000000000e+00,1.137980000000000000e+05,2.000000000000000000e+05,5.689899999999999958e-01
7.000000000000000000e+00,0.000000000000000000e+00,2.864400000000000000e+04,2.000000000000000000e+05,1.432199999999999862e-01
7.000000000000000000e+00,2.000000000000000000e+00,1.593700000000000000e+04,2.000000000000000000e+05,7.968500000000000583e-02
7.000000000000000000e+00,4.000000000000000000e+00,1.936000000000000000e+04,2.000000000000000000e+05,9.679999999999999716e-02
7.000000000000000000e+00,6.000000000000000000e+00,9.636000000000000000e+03,2.000000000000000000e+05,4.818000000000000060e-02
7.000000000000000000e+00,8.000000000000000000e+00,9.167000000000000000e+03,2.000000000000000000e+05,4.583500000000000074e-02
7.000000000000000000e+00,1.000000000000000000e+01,7.945000000000000000e+03,2.000000000000000000e+05,3.972500000000000336e-02
