# Test done: 2024_10_16_14_35_08 - time taken: 92.23487591743469 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,1.984246000000000000e+06,2.000000000000000000e+06,9.921229999999999771e-01
7.000000000000000000e+00,-8.000000000000000000e+00,1.984496000000000000e+06,2.000000000000000000e+06,9.922480000000000189e-01
7.000000000000000000e+00,-6.000000000000000000e+00,1.984193000000000000e+06,2.000000000000000000e+06,9.920965000000000478e-01
7.000000000000000000e+00,-4.000000000000000000e+00,1.983371000000000000e+06,2.000000000000000000e+06,9.916854999999999976e-01
7.000000000000000000e+00,-2.000000000000000000e+00,1.842174000000000000e+06,2.000000000000000000e+06,9.210869999999999891e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.911400000000000000e+05,2.000000000000000000e+06,4.955700000000000105e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.441060000000000000e+05,2.000000000000000000e+06,1.220529999999999948e-01
7.000000000000000000e+00,4.000000000000000000e+00,3.721400000000000000e+04,2.000000000000000000e+06,1.860699999999999854e-02
7.000000000000000000e+00,6.000000000000000000e+00,4.946000000000000000e+03,2.000000000000000000e+06,2.472999999999999938e-03
7.000000000000000000e+00,8.000000000000000000e+00,7.290000000000000000e+02,2.000000000000000000e+06,3.645000000000000236e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.620000000000000000e+02,2.000000000000000000e+06,8.100000000000000375e-05
