# Test done: 2024_10_21_14_27_59 - time taken: 469.84461784362793 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.875518000000000000e+06,1.000000000000000000e+07,9.875517999999999796e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.800069000000000000e+06,1.000000000000000000e+07,9.800069000000000141e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.364898000000000000e+06,1.000000000000000000e+07,9.364898000000000389e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.590893000000000000e+06,1.000000000000000000e+07,7.590892999999999669e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.430965000000000000e+06,1.000000000000000000e+07,4.430965000000000042e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.663695000000000000e+06,1.000000000000000000e+07,1.663695000000000035e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.053850000000000000e+05,1.000000000000000000e+07,3.053849999999999967e-02
7.000000000000000000e+00,4.000000000000000000e+00,9.221100000000000000e+04,1.000000000000000000e+07,9.221099999999999436e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.173300000000000000e+04,1.000000000000000000e+07,1.173299999999999951e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.436000000000000000e+03,1.000000000000000000e+07,2.436000000000000123e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.067000000000000000e+03,1.000000000000000000e+07,1.067000000000000050e-04
