# Test done: 2024_10_17_10_59_44 - time taken: 444.76347637176514 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.868105000000000000e+06,1.000000000000000000e+07,9.868105000000000349e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.784709000000000000e+06,1.000000000000000000e+07,9.784709000000000323e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.109642000000000000e+06,1.000000000000000000e+07,9.109642000000000017e-01
7.000000000000000000e+00,-4.000000000000000000e+00,6.932667000000000000e+06,1.000000000000000000e+07,6.932667000000000135e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.054486000000000000e+06,1.000000000000000000e+07,4.054485999999999923e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.771382000000000000e+06,1.000000000000000000e+07,1.771381999999999957e-01
7.000000000000000000e+00,2.000000000000000000e+00,5.293540000000000000e+05,1.000000000000000000e+07,5.293540000000000051e-02
7.000000000000000000e+00,4.000000000000000000e+00,1.637970000000000000e+05,1.000000000000000000e+07,1.637970000000000051e-02
7.000000000000000000e+00,6.000000000000000000e+00,5.952800000000000000e+04,1.000000000000000000e+07,5.952800000000000279e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.758000000000000000e+04,1.000000000000000000e+07,2.758000000000000035e-03
7.000000000000000000e+00,1.000000000000000000e+01,2.064300000000000000e+04,1.000000000000000000e+07,2.064299999999999816e-03
