"Epoch","sage-sweep-27 - _step","sage-sweep-27 - _step__MIN","sage-sweep-27 - _step__MAX","sage-sweep-27 - Loss","sage-sweep-27 - Loss__MIN","sage-sweep-27 - Loss__MAX","feasible-sweep-3 - _step","feasible-sweep-3 - _step__MIN","feasible-sweep-3 - _step__MAX","feasible-sweep-3 - Loss","feasible-sweep-3 - Loss__MIN","feasible-sweep-3 - Loss__MAX","driven-sweep-4 - _step","driven-sweep-4 - _step__MIN","driven-sweep-4 - _step__MAX","driven-sweep-4 - Loss","driven-sweep-4 - Loss__MIN","driven-sweep-4 - Loss__MAX","wise-sweep-30 - _step","wise-sweep-30 - _step__MIN","wise-sweep-30 - _step__MAX","wise-sweep-30 - Loss","wise-sweep-30 - Loss__MIN","wise-sweep-30 - Loss__MAX","swift-sweep-20 - _step","swift-sweep-20 - _step__MIN","swift-sweep-20 - _step__MAX","swift-sweep-20 - Loss","swift-sweep-20 - Loss__MIN","swift-sweep-20 - Loss__MAX","rich-sweep-12 - _step","rich-sweep-12 - _step__MIN","rich-sweep-12 - _step__MAX","rich-sweep-12 - Loss","rich-sweep-12 - Loss__MIN","rich-sweep-12 - Loss__MAX","bumbling-sweep-9 - _step","bumbling-sweep-9 - _step__MIN","bumbling-sweep-9 - _step__MAX","bumbling-sweep-9 - Loss","bumbling-sweep-9 - Loss__MIN","bumbling-sweep-9 - Loss__MAX","glad-sweep-33 - _step","glad-sweep-33 - _step__MIN","glad-sweep-33 - _step__MAX","glad-sweep-33 - Loss","glad-sweep-33 - Loss__MIN","glad-sweep-33 - Loss__MAX","ethereal-sweep-29 - _step","ethereal-sweep-29 - _step__MIN","ethereal-sweep-29 - _step__MAX","ethereal-sweep-29 - Loss","ethereal-sweep-29 - Loss__MIN","ethereal-sweep-29 - Loss__MAX","winter-sweep-18 - _step","winter-sweep-18 - _step__MIN","winter-sweep-18 - _step__MAX","winter-sweep-18 - Loss","winter-sweep-18 - Loss__MIN","winter-sweep-18 - Loss__MAX","flowing-sweep-8 - _step","flowing-sweep-8 - _step__MIN","flowing-sweep-8 - _step__MAX","flowing-sweep-8 - Loss","flowing-sweep-8 - Loss__MIN","flowing-sweep-8 - Loss__MAX","good-sweep-17 - _step","good-sweep-17 - _step__MIN","good-sweep-17 - _step__MAX","good-sweep-17 - Loss","good-sweep-17 - Loss__MIN","good-sweep-17 - Loss__MAX","exalted-sweep-7 - _step","exalted-sweep-7 - _step__MIN","exalted-sweep-7 - _step__MAX","exalted-sweep-7 - Loss","exalted-sweep-7 - Loss__MIN","exalted-sweep-7 - Loss__MAX","revived-sweep-15 - _step","revived-sweep-15 - _step__MIN","revived-sweep-15 - _step__MAX","revived-sweep-15 - Loss","revived-sweep-15 - Loss__MIN","revived-sweep-15 - Loss__MAX","stellar-sweep-2 - _step","stellar-sweep-2 - _step__MIN","stellar-sweep-2 - _step__MAX","stellar-sweep-2 - Loss","stellar-sweep-2 - Loss__MIN","stellar-sweep-2 - Loss__MAX","astral-sweep-16 - _step","astral-sweep-16 - _step__MIN","astral-sweep-16 - _step__MAX","astral-sweep-16 - Loss","astral-sweep-16 - Loss__MIN","astral-sweep-16 - Loss__MAX","dashing-sweep-21 - _step","dashing-sweep-21 - _step__MIN","dashing-sweep-21 - _step__MAX","dashing-sweep-21 - Loss","dashing-sweep-21 - Loss__MIN","dashing-sweep-21 - Loss__MAX","good-sweep-5 - _step","good-sweep-5 - _step__MIN","good-sweep-5 - _step__MAX","good-sweep-5 - Loss","good-sweep-5 - Loss__MIN","good-sweep-5 - Loss__MAX","happy-sweep-32 - _step","happy-sweep-32 - _step__MIN","happy-sweep-32 - _step__MAX","happy-sweep-32 - Loss","happy-sweep-32 - Loss__MIN","happy-sweep-32 - Loss__MAX","celestial-sweep-6 - _step","celestial-sweep-6 - _step__MIN","celestial-sweep-6 - _step__MAX","celestial-sweep-6 - Loss","celestial-sweep-6 - Loss__MIN","celestial-sweep-6 - Loss__MAX","breezy-sweep-31 - _step","breezy-sweep-31 - _step__MIN","breezy-sweep-31 - _step__MAX","breezy-sweep-31 - Loss","breezy-sweep-31 - Loss__MIN","breezy-sweep-31 - Loss__MAX","sweet-sweep-10 - _step","sweet-sweep-10 - _step__MIN","sweet-sweep-10 - _step__MAX","sweet-sweep-10 - Loss","sweet-sweep-10 - Loss__MIN","sweet-sweep-10 - Loss__MAX","smart-sweep-13 - _step","smart-sweep-13 - _step__MIN","smart-sweep-13 - _step__MAX","smart-sweep-13 - Loss","smart-sweep-13 - Loss__MIN","smart-sweep-13 - Loss__MAX","twilight-sweep-1 - _step","twilight-sweep-1 - _step__MIN","twilight-sweep-1 - _step__MAX","twilight-sweep-1 - Loss","twilight-sweep-1 - Loss__MIN","twilight-sweep-1 - Loss__MAX","royal-sweep-19 - _step","royal-sweep-19 - _step__MIN","royal-sweep-19 - _step__MAX","royal-sweep-19 - Loss","royal-sweep-19 - Loss__MIN","royal-sweep-19 - Loss__MAX","youthful-sweep-28 - _step","youthful-sweep-28 - _step__MIN","youthful-sweep-28 - _step__MAX","youthful-sweep-28 - Loss","youthful-sweep-28 - Loss__MIN","youthful-sweep-28 - Loss__MAX","firm-sweep-24 - _step","firm-sweep-24 - _step__MIN","firm-sweep-24 - _step__MAX","firm-sweep-24 - Loss","firm-sweep-24 - Loss__MIN","firm-sweep-24 - Loss__MAX","fresh-sweep-11 - _step","fresh-sweep-11 - _step__MIN","fresh-sweep-11 - _step__MAX","fresh-sweep-11 - Loss","fresh-sweep-11 - Loss__MIN","fresh-sweep-11 - Loss__MAX","laced-sweep-24 - _step","laced-sweep-24 - _step__MIN","laced-sweep-24 - _step__MAX","laced-sweep-24 - Loss","laced-sweep-24 - Loss__MIN","laced-sweep-24 - Loss__MAX","good-sweep-25 - _step","good-sweep-25 - _step__MIN","good-sweep-25 - _step__MAX","good-sweep-25 - Loss","good-sweep-25 - Loss__MIN","good-sweep-25 - Loss__MAX"
"11","","","","","","","103.5","100","107","0.0031374999999999997","0.0029","0.0033","72","70","74","0.02988","0.0293","0.0309","103.5","100","107","0.0036499999999999996","0.0035","0.0039","72","70","74","0.0028000000000000004","0.0027","0.0029","187.5","180","195","0.0032500000000000003","0.0029","0.0036","103.5","100","107","0.0140625","0.0136","0.0147","103.5","100","107","0.1002625","0.0599","0.1613","103.5","100","107","0.12106249999999999","0.0895","0.1889","103.5","100","107","0.0843625","0.0577","0.1037","61.5","60","63","0.004175","0.004","0.0044","61.5","60","63","0.004475","0.0043","0.0046","187.5","180","195","0.0015124999999999997","0.0013","0.0017","61.5","60","63","0.004925","0.0047","0.0052","61.5","60","63","0.036425","0.0088","0.0803","61.5","60","63","0.04725","0.0403","0.0615","72","70","74","0.08453999999999999","0.0504","0.1341","103.5","100","107","0.0880125","0.0505","0.1201","103.5","100","107","0.10099999999999999","0.0574","0.1515","103.5","100","107","0.0821","0.0337","0.1276","61.5","60","63","0.078725","0.0732","0.0876","72","70","74","0.02152","0.0142","0.0305","72","70","74","0.10046","0.0738","0.1352","72","70","74","0.0826","0.0758","0.0911","103.5","100","107","0.055650000000000005","0.0263","0.0797","61.5","60","63","0.007825","0.0077","0.0079","187.5","180","195","0.005356250000000001","0.0049","0.0059","187.5","180","195","0.0012937499999999998","0.001","0.0015","187.5","180","195","0.0016875","0.0015","0.0021","72","70","74","0.0724","0.0575","0.1012"
"12","","","","","","","113.5","110","117","0.002875","0.0028","0.003","79","77","81","0.0263","0.0258","0.0268","113.5","110","117","0.0032875","0.0031","0.0034","79","77","81","0.00252","0.0024","0.0026","205.5","198","213","0.0029437499999999993","0.0025","0.0036","113.5","110","117","0.0125875","0.0117","0.013","113.5","110","117","0.1086625","0.0723","0.1635","113.5","110","117","0.1052375","0.0691","0.1381","113.5","110","117","0.10882499999999999","0.0654","0.1505","67.5","66","69","0.0037999999999999996","0.0036","0.0039","67.5","66","69","0.004025","0.0039","0.0042","205.5","198","213","0.0013562499999999998","0.0011","0.0016","67.5","66","69","0.004425","0.0043","0.0046","67.5","66","69","0.042624999999999996","0.0358","0.05","67.5","66","69","0.052000000000000005","0.0335","0.0675","79","77","81","0.10735999999999998","0.0864","0.1304","113.5","110","117","0.09316250000000001","0.0524","0.1523","113.5","110","117","0.1139875","0.0931","0.1447","113.5","110","117","0.07037500000000001","0.0433","0.1032","67.5","66","69","0.0746","0.0573","0.107","79","77","81","0.0279","0.0202","0.0357","79","77","81","0.07034","0.045","0.0883","79","77","81","0.05726","0.0334","0.0822","113.5","110","117","0.06505","0.0264","0.0985","67.5","66","69","0.007","0.0068","0.0071","205.5","198","213","0.004799999999999999","0.0044","0.0054","205.5","198","213","0.001175","0.001","0.0014","205.5","198","213","0.0014812500000000001","0.0013","0.0018","79","77","81","0.06624","0.0527","0.0813"
"13","","","","","","","123.5","120","127","0.002575","0.0024","0.0027","86","84","88","0.02374","0.0229","0.0245","123.5","120","127","0.003","0.0028","0.0031","86","84","88","0.0023","0.0022","0.0024","223.5","216","231","0.0026125000000000002","0.0023","0.0028","123.5","120","127","0.0112125","0.0106","0.0116","123.5","120","127","0.0994375","0.074","0.1533","123.5","120","127","0.09767500000000001","0.0632","0.1345","123.5","120","127","0.0913875","0.0464","0.1369","73.5","72","75","0.003425","0.0033","0.0035","73.5","72","75","0.0036499999999999996","0.0036","0.0038","223.5","216","231","0.0012","0.0011","0.0013","73.5","72","75","0.0040750000000000005","0.004","0.0042","73.5","72","75","0.0369","0.0238","0.0535","73.5","72","75","0.032850000000000004","0.0298","0.0374","86","84","88","0.09566","0.0799","0.1235","123.5","120","127","0.0872375","0.0646","0.149","123.5","120","127","0.09427500000000001","0.0578","0.1279","123.5","120","127","0.06245","0.0204","0.0954","73.5","72","75","0.10805000000000001","0.1022","0.1173","86","84","88","0.02286","0.0125","0.0353","86","84","88","0.058800000000000005","0.0394","0.08","86","84","88","0.07146000000000001","0.0607","0.0787","123.5","120","127","0.056625","0.034","0.069","73.5","72","75","0.0064","0.0062","0.0066","223.5","216","231","0.004331250000000001","0.0041","0.0046","223.5","216","231","0.0010625000000000005","0.0009","0.0015","223.5","216","231","0.0013437499999999997","0.0012","0.0016","86","84","88","0.07772","0.0614","0.0897"
"14","","","","","","","133.5","130","137","0.002375","0.0023","0.0025","93","91","95","0.021700000000000004","0.0206","0.0224","133.5","130","137","0.0027","0.0026","0.0028","93","91","95","0.0021199999999999995","0.0021","0.0022","241.5","234","249","0.00243125","0.0022","0.0026","133.5","130","137","0.010275","0.0098","0.0106","133.5","130","137","0.09736249999999999","0.0672","0.1345","133.5","130","137","0.1297375","0.093","0.1841","133.5","130","137","0.095225","0.055","0.1488","79.5","78","81","0.003175","0.0031","0.0032","79.5","78","81","0.003325","0.0032","0.0034","241.5","234","249","0.00109375","0.0009","0.0013","79.5","78","81","0.003725","0.0037","0.0038","79.5","78","81","0.0348","0.0231","0.0548","79.5","78","81","0.047075","0.0214","0.0646","93","91","95","0.0908","0.0619","0.1154","133.5","130","137","0.0766875","0.0553","0.1015","133.5","130","137","0.10221250000000001","0.0611","0.1684","133.5","130","137","0.0675625","0.0447","0.0961","79.5","78","81","0.056975","0.0477","0.0707","93","91","95","0.02404","0.0207","0.0271","93","91","95","0.07931999999999999","0.0637","0.1011","93","91","95","0.11692","0.0848","0.1803","133.5","130","137","0.032012500000000006","0.0233","0.0457","79.5","78","81","0.0058249999999999994","0.0058","0.0059","241.5","234","249","0.0040125","0.0036","0.0047","241.5","234","249","0.0009500000000000001","0.0008","0.0011","241.5","234","249","0.0012437499999999996","0.0011","0.0014","93","91","95","0.05038","0.0322","0.0714"
"15","","","","","","","143.5","140","147","0.0022125","0.0021","0.0024","100","98","102","0.01976","0.0194","0.0203","143.5","140","147","0.002525","0.0024","0.0026","100","98","102","0.0019600000000000004","0.0019","0.0021","259.5","252","267","0.0021937500000000004","0.002","0.0025","143.5","140","147","0.009525","0.0093","0.0099","143.5","140","147","0.0983","0.0528","0.1387","143.5","140","147","0.12272500000000001","0.0702","0.1764","143.5","140","147","0.0931125","0.058","0.1666","85.5","84","87","0.00295","0.0029","0.003","85.5","84","87","0.003125","0.0031","0.0032","259.5","252","267","0.001075","0.0009","0.0013","85.5","84","87","0.003425","0.0034","0.0035","85.5","84","87","0.0148","0.0062","0.0213","85.5","84","87","0.044225","0.0267","0.0547","100","98","102","0.08968","0.0579","0.1271","143.5","140","147","0.09045","0.0526","0.1263","143.5","140","147","0.0863875","0.0673","0.1051","143.5","140","147","0.08358750000000001","0.0665","0.1419","85.5","84","87","0.046125000000000006","0.0397","0.054","100","98","102","0.015940000000000003","0.0086","0.0302","100","98","102","0.053200000000000004","0.03","0.0681","100","98","102","0.0699","0.0483","0.0957","143.5","140","147","0.051425","0.0234","0.0872","85.5","84","87","0.005424999999999999","0.0053","0.0055","259.5","252","267","0.00378125","0.0033","0.0042","259.5","252","267","0.0009125","0.0008","0.0011","259.5","252","267","0.00115625","0.0011","0.0013","100","98","102","0.07205999999999999","0.039","0.1065"
"16","","","","","","","153.5","150","157","0.0020125","0.0019","0.0021","107","105","109","0.01802","0.0176","0.0183","153.5","150","157","0.0023874999999999994","0.0023","0.0025","107","105","109","0.0018","0.0018","0.0018","277.5","270","285","0.0021062500000000005","0.0018","0.0025","153.5","150","157","0.0087375","0.0084","0.0092","153.5","150","157","0.09142499999999999","0.0572","0.1373","153.5","150","157","0.11513749999999999","0.0447","0.1713","153.5","150","157","0.076375","0.0517","0.1017","91.5","90","93","0.00275","0.0026","0.0029","91.5","90","93","0.002875","0.0028","0.0029","277.5","270","285","0.000975","0.0009","0.0011","91.5","90","93","0.0032","0.0031","0.0033","91.5","90","93","0.007975","0.0048","0.0112","91.5","90","93","0.050675","0.0333","0.0808","107","105","109","0.08213999999999999","0.0628","0.1133","153.5","150","157","0.0665375","0.048","0.1205","153.5","150","157","0.09115000000000001","0.0535","0.1378","153.5","150","157","0.0605","0.0403","0.0784","91.5","90","93","0.059775","0.0435","0.0743","107","105","109","0.02406","0.0161","0.0298","107","105","109","0.05436","0.0346","0.0647","107","105","109","0.05112","0.042","0.061","153.5","150","157","0.054474999999999996","0.0333","0.092","91.5","90","93","0.004975","0.0048","0.0052","277.5","270","285","0.0035250000000000004","0.0033","0.0038","277.5","270","285","0.0008500000000000001","0.0008","0.001","277.5","270","285","0.00110625","0.001","0.0013","107","105","109","0.08344","0.0656","0.1015"
"17","","","","","","","163.5","160","167","0.001925","0.0019","0.002","114","112","116","0.01686","0.0167","0.017","163.5","160","167","0.0022125","0.0021","0.0024","114","112","116","0.0017000000000000001","0.0016","0.0018","295.5","288","303","0.00190625","0.0017","0.0021","163.5","160","167","0.0081","0.0079","0.0082","163.5","160","167","0.07385","0.0393","0.1279","163.5","160","167","0.0968","0.0703","0.1376","163.5","160","167","0.08973750000000001","0.0432","0.1327","97.5","96","99","0.0025250000000000003","0.0025","0.0026","97.5","96","99","0.002675","0.0026","0.0027","295.5","288","303","0.00093125","0.0008","0.0012","97.5","96","99","0.003025","0.0029","0.0031","97.5","96","99","0.037625","0.0253","0.06","97.5","96","99","0.03565","0.0242","0.0458","114","112","116","0.09322000000000001","0.0779","0.1005","163.5","160","167","0.089325","0.0545","0.1434","163.5","160","167","0.08093750000000001","0.0375","0.1179","163.5","160","167","0.05468750000000001","0.0193","0.0775","97.5","96","99","0.0812","0.063","0.0997","114","112","116","0.0187","0.0147","0.0229","114","112","116","0.07319999999999999","0.0276","0.0923","114","112","116","0.0758","0.0574","0.1073","163.5","160","167","0.029087499999999995","0.01","0.0495","97.5","96","99","0.0046749999999999995","0.0046","0.0048","295.5","288","303","0.00325","0.0028","0.0037","295.5","288","303","0.0007812499999999999","0.0007","0.0009","295.5","288","303","0.0010375","0.0009","0.0015","114","112","116","0.08352000000000001","0.0724","0.0986"
"18","","","","","","","173.5","170","177","0.0017875","0.0017","0.0019","121","119","123","0.01568","0.0155","0.0158","173.5","170","177","0.0020624999999999997","0.002","0.0021","121","119","123","0.0016","0.0015","0.0017","313.5","306","321","0.0018312499999999998","0.0017","0.0021","173.5","170","177","0.0075875","0.0073","0.0078","173.5","170","177","0.0924625","0.0602","0.1434","173.5","170","177","0.08554999999999999","0.0386","0.1301","173.5","170","177","0.079875","0.031","0.1446","103.5","102","105","0.002375","0.0023","0.0024","103.5","102","105","0.0025250000000000003","0.0025","0.0026","313.5","306","321","0.0008250000000000001","0.0007","0.0009","103.5","102","105","0.0028250000000000003","0.0027","0.0029","103.5","102","105","0.045","0.0319","0.0662","103.5","102","105","0.0361","0.0267","0.0501","121","119","123","0.09612000000000001","0.0635","0.1528","173.5","170","177","0.0781","0.0547","0.101","173.5","170","177","0.09527500000000001","0.043","0.1683","173.5","170","177","0.05226249999999999","0.026","0.0758","103.5","102","105","0.08345","0.051","0.1128","121","119","123","0.021339999999999998","0.0139","0.0282","121","119","123","0.0765","0.0612","0.0963","121","119","123","0.06982","0.032","0.0974","173.5","170","177","0.040049999999999995","0.0192","0.059","103.5","102","105","0.004375","0.0043","0.0045","313.5","306","321","0.00301875","0.0028","0.0033","313.5","306","321","0.0007812499999999999","0.0007","0.0009","313.5","306","321","0.0009687500000000001","0.0008","0.0011","121","119","123","0.03962","0.0295","0.054"
"19","","","","","","","183.5","180","187","0.0017000000000000001","0.0016","0.0018","128","126","130","0.014580000000000001","0.0143","0.0148","183.5","180","187","0.0019375000000000004","0.0019","0.002","128","126","130","0.0015","0.0015","0.0015","331.5","324","339","0.001675","0.0014","0.002","183.5","180","187","0.007062500000000001","0.0069","0.0074","183.5","180","187","0.08887499999999998","0.0642","0.127","183.5","180","187","0.10551250000000001","0.0557","0.1501","183.5","180","187","0.09388749999999998","0.0501","0.1871","109.5","108","111","0.00225","0.0021","0.0023","109.5","108","111","0.002375","0.0023","0.0024","331.5","324","339","0.0007812499999999999","0.0007","0.0009","109.5","108","111","0.002625","0.0026","0.0027","109.5","108","111","0.029074999999999997","0.017","0.0372","109.5","108","111","0.040475","0.029","0.0599","128","126","130","0.08517999999999999","0.0633","0.1146","183.5","180","187","0.06767499999999999","0.0461","0.1173","183.5","180","187","0.0631875","0.031","0.0962","183.5","180","187","0.065075","0.0288","0.0931","109.5","108","111","0.0688","0.0552","0.0779","128","126","130","0.025839999999999995","0.0144","0.0352","128","126","130","0.060399999999999995","0.041","0.0761","128","126","130","0.07598","0.0473","0.1081","183.5","180","187","0.0360625","0.0211","0.0575","109.5","108","111","0.004125","0.0041","0.0042","331.5","324","339","0.00283125","0.0025","0.0032","331.5","324","339","0.000725","0.0006","0.0009","331.5","324","339","0.0008812500000000001","0.0008","0.001","128","126","130","0.06305999999999999","0.0488","0.0821"
"20","","","","","","","193.5","190","197","0.0015875000000000002","0.0015","0.0016","135","133","137","0.013680000000000001","0.0136","0.0137","193.5","190","197","0.0018249999999999998","0.0017","0.0019","135","133","137","0.0014","0.0014","0.0014","349.5","342","357","0.0016000000000000003","0.0014","0.0017","193.5","190","197","0.0066500000000000005","0.0063","0.0069","193.5","190","197","0.0854","0.0369","0.1248","193.5","190","197","0.1103625","0.0708","0.1601","193.5","190","197","0.0702125","0.0379","0.1196","115.5","114","117","0.002075","0.002","0.0021","115.5","114","117","0.0022500000000000003","0.0022","0.0023","349.5","342","357","0.000775","0.0006","0.0009","115.5","114","117","0.0024749999999999998","0.0024","0.0025","115.5","114","117","0.02125","0.0192","0.0258","115.5","114","117","0.050775","0.0426","0.0615","135","133","137","0.0837","0.0808","0.0881","193.5","190","197","0.04405","0.0222","0.1045","193.5","190","197","0.0852125","0.0673","0.1142","193.5","190","197","0.0612375","0.0349","0.0977","115.5","114","117","0.052875000000000005","0.0445","0.0595","135","133","137","0.01652","0.0121","0.0244","135","133","137","0.05856","0.04","0.0783","135","133","137","0.04472","0.0363","0.0583","193.5","190","197","0.03635","0.0113","0.0995","115.5","114","117","0.003875","0.0038","0.004","349.5","342","357","0.0027625","0.0025","0.0033","349.5","342","357","0.0006812499999999999","0.0006","0.0008","349.5","342","357","0.0008375","0.0007","0.001","135","133","137","0.0666","0.0516","0.0838"
"21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.5","120","123","0.002","0.002","0.002","121.5","120","123","0.0021249999999999997","0.0021","0.0022","367.5","360","375","0.0007499999999999999","0.0006","0.0012","121.5","120","123","0.002325","0.0023","0.0024","121.5","120","123","0.0158","0.0102","0.0232","121.5","120","123","0.035500000000000004","0.0251","0.0471","142","140","144","0.0855","0.0526","0.1062","203.5","200","207","0.0958875","0.0644","0.1225","203.5","200","207","0.08990000000000001","0.0449","0.1559","203.5","200","207","0.0682875","0.0304","0.1033","121.5","120","123","0.04665","0.0257","0.0719","142","140","144","0.010899999999999998","0.005","0.0173","142","140","144","0.045340000000000005","0.0299","0.0644","142","140","144","0.05288","0.0403","0.0641","203.5","200","207","0.051449999999999996","0.0352","0.0741","121.5","120","123","0.0036249999999999998","0.0035","0.0037","367.5","360","375","0.00255","0.0023","0.0028","367.5","360","375","0.0006249999999999999","0.0006","0.0007","367.5","360","375","0.00080625","0.0007","0.001","142","140","144","0.06294","0.0422","0.0841"
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127.5","126","129","0.0019","0.0019","0.0019","127.5","126","129","0.002025","0.002","0.0021","385.5","378","393","0.00070625","0.0006","0.0009","127.5","126","129","0.0022250000000000004","0.0022","0.0023","127.5","126","129","0.0253","0.0193","0.035","127.5","126","129","0.028725","0.0242","0.0322","149","147","151","0.06452000000000001","0.0352","0.0918","213.5","210","217","0.06975","0.0447","0.088","213.5","210","217","0.0729625","0.0287","0.1089","213.5","210","217","0.05845","0.0268","0.0895","127.5","126","129","0.063875","0.055","0.0714","149","147","151","0.01402","0.0071","0.0257","149","147","151","0.053239999999999996","0.0241","0.0706","149","147","151","0.0635","0.0388","0.0899","213.5","210","217","0.0463875","0.0133","0.0945","127.5","126","129","0.0035","0.0035","0.0035","385.5","378","393","0.0023687499999999998","0.0022","0.0027","385.5","378","393","0.0005875","0.0005","0.0007","385.5","378","393","0.0007875","0.0007","0.0009","149","147","151","0.04766","0.0305","0.0611"
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.5","132","135","0.0018","0.0018","0.0018","133.5","132","135","0.0019249999999999998","0.0019","0.002","403.5","396","411","0.0006562499999999998","0.0006","0.0008","133.5","132","135","0.0021249999999999997","0.0021","0.0022","133.5","132","135","0.027275","0.0229","0.035","133.5","132","135","0.034100000000000005","0.024","0.045","156","154","158","0.0871","0.0569","0.1185","223.5","220","227","0.06293749999999998","0.036","0.0831","223.5","220","227","0.0934625","0.0583","0.1639","223.5","220","227","0.0444375","0.0165","0.0725","133.5","132","135","0.07235","0.0409","0.096","156","154","158","0.01704","0.0059","0.0283","156","154","158","0.0417","0.019","0.0758","156","154","158","0.06452","0.0463","0.0749","223.5","220","227","0.03881249999999999","0.0223","0.0716","133.5","132","135","0.0033","0.0033","0.0033","403.5","396","411","0.0023125000000000003","0.0021","0.0025","403.5","396","411","0.0005625000000000001","0.0005","0.0007","403.5","396","411","0.0007187499999999999","0.0006","0.001","156","154","158","0.05112","0.018","0.1194"
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.5","138","141","0.00175","0.0017","0.0018","139.5","138","141","0.00185","0.0018","0.0019","421.5","414","429","0.0006374999999999999","0.0006","0.0008","139.5","138","141","0.002025","0.002","0.0021","139.5","138","141","0.0114","0.0099","0.0142","139.5","138","141","0.0461","0.0237","0.058","163","161","165","0.057679999999999995","0.0322","0.084","233.5","230","237","0.0672875","0.0331","0.0947","233.5","230","237","0.07757499999999999","0.0269","0.1215","233.5","230","237","0.0517875","0.0213","0.0872","139.5","138","141","0.07117499999999999","0.0358","0.094","163","161","165","0.01736","0.0105","0.028","163","161","165","0.06288","0.0385","0.0797","163","161","165","0.07203999999999999","0.0372","0.1074","233.5","230","237","0.023025","0.0152","0.0483","139.5","138","141","0.003125","0.0031","0.0032","421.5","414","429","0.00215625","0.002","0.0024","421.5","414","429","0.0005250000000000001","0.0004","0.0006","421.5","414","429","0.0006875","0.0006","0.0009","163","161","165","0.0605","0.0506","0.0714"
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145.5","144","147","0.00165","0.0016","0.0017","145.5","144","147","0.001775","0.0017","0.0018","439.5","432","447","0.0005874999999999999","0.0005","0.0007","145.5","144","147","0.0019249999999999998","0.0019","0.002","145.5","144","147","0.023725000000000003","0.0148","0.0427","145.5","144","147","0.041125","0.0298","0.0502","170","168","172","0.06048","0.0324","0.0897","243.5","240","247","0.07302499999999999","0.0464","0.1094","243.5","240","247","0.0896875","0.0665","0.1428","243.5","240","247","0.06987499999999999","0.0359","0.1175","145.5","144","147","0.04285","0.0397","0.0475","170","168","172","0.013800000000000002","0.0085","0.0175","170","168","172","0.06612","0.0446","0.0924","170","168","172","0.07222","0.0535","0.0852","243.5","240","247","0.0497875","0.0272","0.0642","145.5","144","147","0.003","0.0029","0.0031","439.5","432","447","0.00205625","0.0019","0.0023","439.5","432","447","0.0005125000000000002","0.0005","0.0006","439.5","432","447","0.0006812499999999999","0.0006","0.0009","170","168","172","0.03236","0.024","0.0384"
"26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151.5","150","153","0.0016","0.0016","0.0016","151.5","150","153","0.0017","0.0017","0.0017","457.5","450","465","0.0005562500000000001","0.0005","0.0007","151.5","150","153","0.0018249999999999998","0.0018","0.0019","151.5","150","153","0.028624999999999998","0.0242","0.0304","151.5","150","153","0.028525000000000002","0.0189","0.0366","177","175","179","0.09674","0.0601","0.1429","253.5","250","257","0.05755","0.025","0.0751","253.5","250","257","0.0778","0.0302","0.1335","253.5","250","257","0.05135","0.0366","0.0656","151.5","150","153","0.0523","0.035","0.0665","177","175","179","0.007239999999999999","0.0013","0.0203","177","175","179","0.051960000000000006","0.0444","0.0571","177","175","179","0.05382","0.0163","0.0877","253.5","250","257","0.0399625","0.0067","0.0635","151.5","150","153","0.0029","0.0028","0.003","457.5","450","465","0.00200625","0.0018","0.0023","457.5","450","465","0.0004750000000000001","0.0004","0.0005","457.5","450","465","0.0006124999999999999","0.0005","0.0007","177","175","179","0.0608","0.0169","0.0888"
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157.5","156","159","0.0015","0.0015","0.0015","157.5","156","159","0.0016","0.0016","0.0016","475.5","468","483","0.0005562500000000001","0.0005","0.0007","157.5","156","159","0.0018","0.0018","0.0018","157.5","156","159","0.030625","0.0201","0.0545","157.5","156","159","0.023975","0.0121","0.0336","184","182","186","0.061939999999999995","0.0561","0.0681","263.5","260","267","0.0553","0.0355","0.0721","263.5","260","267","0.07685","0.0373","0.116","263.5","260","267","0.058387499999999995","0.0264","0.1007","157.5","156","159","0.046875","0.0359","0.0591","184","182","186","0.01458","0.0083","0.0244","184","182","186","0.060399999999999995","0.0426","0.0942","184","182","186","0.04566","0.0195","0.057","263.5","260","267","0.027325","0.0173","0.0419","157.5","156","159","0.0027749999999999997","0.0027","0.0028","475.5","468","483","0.0019","0.0017","0.0021","475.5","468","483","0.0004625000000000001","0.0004","0.0005","475.5","468","483","0.0006062499999999999","0.0005","0.0007","184","182","186","0.06514","0.0386","0.0862"
