# Test done: 2024_10_01_23_25_46 - time taken: 4.192672252655029 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+03,4.000000000000000083e-03
7.000000000000000000e+00,-9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+03,8.999999999999999320e-03
7.000000000000000000e+00,-1.000000000000000000e+01,3.700000000000000000e+01,1.000000000000000000e+03,3.699999999999999817e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.700000000000000000e+01,1.000000000000000000e+03,9.700000000000000289e-02
7.000000000000000000e+00,-1.200000000000000000e+01,1.850000000000000000e+02,1.000000000000000000e+03,1.849999999999999978e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.440000000000000000e+02,1.000000000000000000e+03,3.439999999999999725e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.660000000000000000e+02,1.000000000000000000e+03,4.660000000000000253e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.870000000000000000e+02,1.000000000000000000e+03,5.869999999999999662e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.630000000000000000e+02,1.000000000000000000e+03,6.630000000000000338e-01
