# Test done: 2024_10_02_13_48_29 - time taken: 4.325847148895264 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+03,7.000000000000000146e-03
7.000000000000000000e+00,-1.000000000000000000e+01,4.100000000000000000e+01,1.000000000000000000e+03,4.100000000000000172e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+03,9.500000000000000111e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.150000000000000000e+02,1.000000000000000000e+03,2.149999999999999967e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.640000000000000000e+02,1.000000000000000000e+03,3.639999999999999902e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.320000000000000000e+02,1.000000000000000000e+03,4.319999999999999951e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.980000000000000000e+02,1.000000000000000000e+03,5.979999999999999760e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.810000000000000000e+02,1.000000000000000000e+03,6.810000000000000497e-01
