# Test done: 2024_10_03_10_21_28 - time taken: 18.86665368080139 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,9.918600000000000000e+04,1.000000000000000000e+05,9.918599999999999639e-01
7.000000000000000000e+00,-5.000000000000000000e+00,9.923100000000000000e+04,1.000000000000000000e+05,9.923100000000000254e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.920400000000000000e+04,1.000000000000000000e+05,9.920400000000000329e-01
7.000000000000000000e+00,-7.000000000000000000e+00,9.925300000000000000e+04,1.000000000000000000e+05,9.925300000000000233e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.920400000000000000e+04,1.000000000000000000e+05,9.920400000000000329e-01
7.000000000000000000e+00,-9.000000000000000000e+00,9.924700000000000000e+04,1.000000000000000000e+05,9.924699999999999633e-01
7.000000000000000000e+00,-1.000000000000000000e+01,9.924200000000000000e+04,1.000000000000000000e+05,9.924199999999999688e-01
7.000000000000000000e+00,-1.100000000000000000e+01,9.924400000000000000e+04,1.000000000000000000e+05,9.924399999999999888e-01
7.000000000000000000e+00,-1.200000000000000000e+01,9.920200000000000000e+04,1.000000000000000000e+05,9.920200000000000129e-01
7.000000000000000000e+00,-1.300000000000000000e+01,9.921700000000000000e+04,1.000000000000000000e+05,9.921699999999999964e-01
7.000000000000000000e+00,-1.400000000000000000e+01,9.917000000000000000e+04,1.000000000000000000e+05,9.917000000000000259e-01
7.000000000000000000e+00,-1.500000000000000000e+01,9.924000000000000000e+04,1.000000000000000000e+05,9.923999999999999488e-01
7.000000000000000000e+00,-1.600000000000000000e+01,9.916400000000000000e+04,1.000000000000000000e+05,9.916399999999999659e-01
