# Test done: 2024_10_02_12_43_49 - time taken: 5.801975250244141 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+03,3.000000000000000062e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+03,1.099999999999999936e-02
7.000000000000000000e+00,-1.000000000000000000e+01,3.400000000000000000e+01,1.000000000000000000e+03,3.400000000000000244e-02
7.000000000000000000e+00,-1.100000000000000000e+01,8.600000000000000000e+01,1.000000000000000000e+03,8.599999999999999312e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.010000000000000000e+02,1.000000000000000000e+03,2.010000000000000120e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.600000000000000000e+02,1.000000000000000000e+03,3.599999999999999867e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.780000000000000000e+02,1.000000000000000000e+03,4.779999999999999805e-01
7.000000000000000000e+00,-1.500000000000000000e+01,6.150000000000000000e+02,1.000000000000000000e+03,6.149999999999999911e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.960000000000000000e+02,1.000000000000000000e+03,6.959999999999999520e-01
