# Test done: 2024_10_01_23_25_46 - time taken: 4.252500772476196 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+03,8.999999999999999320e-03
7.000000000000000000e+00,-1.000000000000000000e+01,4.300000000000000000e+01,1.000000000000000000e+03,4.299999999999999656e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.300000000000000000e+01,1.000000000000000000e+03,9.299999999999999933e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.000000000000000000e+02,1.000000000000000000e+03,2.000000000000000111e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.310000000000000000e+02,1.000000000000000000e+03,3.310000000000000164e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.820000000000000000e+02,1.000000000000000000e+03,4.819999999999999840e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.930000000000000000e+02,1.000000000000000000e+03,5.929999999999999716e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.960000000000000000e+02,1.000000000000000000e+03,6.959999999999999520e-01
