# Test done: 2024_10_02_13_48_29 - time taken: 4.266193628311157 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+03,4.000000000000000083e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+03,1.299999999999999940e-02
7.000000000000000000e+00,-1.000000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+03,4.499999999999999833e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.200000000000000000e+01,1.000000000000000000e+03,9.199999999999999845e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.140000000000000000e+02,1.000000000000000000e+03,2.139999999999999958e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.500000000000000000e+02,1.000000000000000000e+03,3.499999999999999778e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.610000000000000000e+02,1.000000000000000000e+03,4.610000000000000209e-01
7.000000000000000000e+00,-1.500000000000000000e+01,6.000000000000000000e+02,1.000000000000000000e+03,5.999999999999999778e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.920000000000000000e+02,1.000000000000000000e+03,6.919999999999999485e-01
