# Test done: 2024_10_03_10_25_54 - time taken: 16.109713792800903 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,9.919600000000000000e+04,1.000000000000000000e+05,9.919599999999999529e-01
7.000000000000000000e+00,-5.000000000000000000e+00,9.920900000000000000e+04,1.000000000000000000e+05,9.920900000000000274e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.923400000000000000e+04,1.000000000000000000e+05,9.923399999999999999e-01
7.000000000000000000e+00,-7.000000000000000000e+00,9.919900000000000000e+04,1.000000000000000000e+05,9.919900000000000384e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.924900000000000000e+04,1.000000000000000000e+05,9.924899999999999833e-01
7.000000000000000000e+00,-9.000000000000000000e+00,9.917600000000000000e+04,1.000000000000000000e+05,9.917599999999999749e-01
7.000000000000000000e+00,-1.000000000000000000e+01,9.923400000000000000e+04,1.000000000000000000e+05,9.923399999999999999e-01
7.000000000000000000e+00,-1.100000000000000000e+01,9.919000000000000000e+04,1.000000000000000000e+05,9.919000000000000039e-01
7.000000000000000000e+00,-1.200000000000000000e+01,9.921600000000000000e+04,1.000000000000000000e+05,9.921600000000000419e-01
7.000000000000000000e+00,-1.300000000000000000e+01,9.922400000000000000e+04,1.000000000000000000e+05,9.922400000000000109e-01
7.000000000000000000e+00,-1.400000000000000000e+01,9.919000000000000000e+04,1.000000000000000000e+05,9.919000000000000039e-01
7.000000000000000000e+00,-1.500000000000000000e+01,9.920000000000000000e+04,1.000000000000000000e+05,9.919999999999999929e-01
7.000000000000000000e+00,-1.600000000000000000e+01,9.918500000000000000e+04,1.000000000000000000e+05,9.918500000000000094e-01
