# Test done: 2024_10_01_23_44_24 - time taken: 4.347756385803223 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-03
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+03,1.000000000000000021e-02
7.000000000000000000e+00,-1.000000000000000000e+01,3.700000000000000000e+01,1.000000000000000000e+03,3.699999999999999817e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.020000000000000000e+02,1.000000000000000000e+03,1.019999999999999934e-01
7.000000000000000000e+00,-1.200000000000000000e+01,1.960000000000000000e+02,1.000000000000000000e+03,1.960000000000000075e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.410000000000000000e+02,1.000000000000000000e+03,3.410000000000000253e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.640000000000000000e+02,1.000000000000000000e+03,4.640000000000000235e-01
7.000000000000000000e+00,-1.500000000000000000e+01,6.070000000000000000e+02,1.000000000000000000e+03,6.069999999999999840e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.080000000000000000e+02,1.000000000000000000e+03,7.079999999999999627e-01
