# Test done: 2024_10_02_13_48_29 - time taken: 4.30876612663269 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+03,2.000000000000000042e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+03,1.099999999999999936e-02
7.000000000000000000e+00,-1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000278e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.030000000000000000e+02,1.000000000000000000e+03,1.029999999999999943e-01
7.000000000000000000e+00,-1.200000000000000000e+01,2.050000000000000000e+02,1.000000000000000000e+03,2.049999999999999878e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.400000000000000000e+02,1.000000000000000000e+03,3.400000000000000244e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.780000000000000000e+02,1.000000000000000000e+03,4.779999999999999805e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.880000000000000000e+02,1.000000000000000000e+03,5.879999999999999671e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.150000000000000000e+02,1.000000000000000000e+03,7.149999999999999689e-01
