# Test done: 2024_10_01_23_44_24 - time taken: 4.365090847015381 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+03,2.000000000000000042e-03
7.000000000000000000e+00,-9.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+03,8.999999999999999320e-03
7.000000000000000000e+00,-1.000000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+03,3.200000000000000067e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+03,1.000000000000000056e-01
7.000000000000000000e+00,-1.200000000000000000e+01,1.840000000000000000e+02,1.000000000000000000e+03,1.839999999999999969e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.310000000000000000e+02,1.000000000000000000e+03,3.310000000000000164e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.740000000000000000e+02,1.000000000000000000e+03,4.739999999999999769e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.900000000000000000e+02,1.000000000000000000e+03,5.899999999999999689e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.070000000000000000e+02,1.000000000000000000e+03,7.069999999999999618e-01
