# Test done: 2024_10_03_10_52_55 - time taken: 18.964137315750122 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,9.923100000000000000e+04,1.000000000000000000e+05,9.923100000000000254e-01
7.000000000000000000e+00,-5.000000000000000000e+00,9.923500000000000000e+04,1.000000000000000000e+05,9.923499999999999543e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.917800000000000000e+04,1.000000000000000000e+05,9.917799999999999949e-01
7.000000000000000000e+00,-7.000000000000000000e+00,9.926900000000000000e+04,1.000000000000000000e+05,9.926899999999999613e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.919100000000000000e+04,1.000000000000000000e+05,9.919099999999999584e-01
7.000000000000000000e+00,-9.000000000000000000e+00,9.919700000000000000e+04,1.000000000000000000e+05,9.919700000000000184e-01
7.000000000000000000e+00,-1.000000000000000000e+01,9.921700000000000000e+04,1.000000000000000000e+05,9.921699999999999964e-01
7.000000000000000000e+00,-1.100000000000000000e+01,9.925200000000000000e+04,1.000000000000000000e+05,9.925199999999999578e-01
7.000000000000000000e+00,-1.200000000000000000e+01,9.917800000000000000e+04,1.000000000000000000e+05,9.917799999999999949e-01
7.000000000000000000e+00,-1.300000000000000000e+01,9.924500000000000000e+04,1.000000000000000000e+05,9.924500000000000544e-01
7.000000000000000000e+00,-1.400000000000000000e+01,9.922100000000000000e+04,1.000000000000000000e+05,9.922100000000000364e-01
7.000000000000000000e+00,-1.500000000000000000e+01,9.920700000000000000e+04,1.000000000000000000e+05,9.920700000000000074e-01
7.000000000000000000e+00,-1.600000000000000000e+01,9.919300000000000000e+04,1.000000000000000000e+05,9.919299999999999784e-01
