# Test done: 2024_10_02_12_43_49 - time taken: 5.8455970287323 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+03,2.000000000000000042e-03
7.000000000000000000e+00,-8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+03,2.000000000000000042e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+03,1.299999999999999940e-02
7.000000000000000000e+00,-1.000000000000000000e+01,5.100000000000000000e+01,1.000000000000000000e+03,5.099999999999999672e-02
7.000000000000000000e+00,-1.100000000000000000e+01,8.200000000000000000e+01,1.000000000000000000e+03,8.200000000000000344e-02
7.000000000000000000e+00,-1.200000000000000000e+01,1.960000000000000000e+02,1.000000000000000000e+03,1.960000000000000075e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.180000000000000000e+02,1.000000000000000000e+03,3.180000000000000049e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.670000000000000000e+02,1.000000000000000000e+03,4.670000000000000262e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.970000000000000000e+02,1.000000000000000000e+03,5.969999999999999751e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.100000000000000000e+02,1.000000000000000000e+03,7.099999999999999645e-01
