# Test done: 2024_10_01_23_44_24 - time taken: 4.306664705276489 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-03
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000000e+03,1.499999999999999944e-02
7.000000000000000000e+00,-1.000000000000000000e+01,4.700000000000000000e+01,1.000000000000000000e+03,4.700000000000000011e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.200000000000000000e+01,1.000000000000000000e+03,9.199999999999999845e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.090000000000000000e+02,1.000000000000000000e+03,2.089999999999999913e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.460000000000000000e+02,1.000000000000000000e+03,3.459999999999999742e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.770000000000000000e+02,1.000000000000000000e+03,4.769999999999999796e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.770000000000000000e+02,1.000000000000000000e+03,5.769999999999999574e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.190000000000000000e+02,1.000000000000000000e+03,7.189999999999999725e-01
