# Test done: 2024_10_02_12_43_49 - time taken: 5.776061773300171 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-9.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000104e-03
7.000000000000000000e+00,-1.000000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+03,3.200000000000000067e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.030000000000000000e+02,1.000000000000000000e+03,1.029999999999999943e-01
7.000000000000000000e+00,-1.200000000000000000e+01,2.010000000000000000e+02,1.000000000000000000e+03,2.010000000000000120e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.500000000000000000e+02,1.000000000000000000e+03,3.499999999999999778e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.750000000000000000e+02,1.000000000000000000e+03,4.749999999999999778e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.840000000000000000e+02,1.000000000000000000e+03,5.839999999999999636e-01
7.000000000000000000e+00,-1.600000000000000000e+01,7.030000000000000000e+02,1.000000000000000000e+03,7.029999999999999583e-01
