# Test done: 2024_10_01_23_44_24 - time taken: 4.329471588134766 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00
7.000000000000000000e+00,-8.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+03,3.000000000000000062e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+03,1.000000000000000021e-02
7.000000000000000000e+00,-1.000000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+03,4.499999999999999833e-02
7.000000000000000000e+00,-1.100000000000000000e+01,1.060000000000000000e+02,1.000000000000000000e+03,1.059999999999999970e-01
7.000000000000000000e+00,-1.200000000000000000e+01,2.060000000000000000e+02,1.000000000000000000e+03,2.059999999999999887e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.200000000000000000e+02,1.000000000000000000e+03,3.200000000000000067e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.730000000000000000e+02,1.000000000000000000e+03,4.729999999999999760e-01
7.000000000000000000e+00,-1.500000000000000000e+01,6.210000000000000000e+02,1.000000000000000000e+03,6.209999999999999964e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.970000000000000000e+02,1.000000000000000000e+03,6.969999999999999529e-01
