# Test done: 2024_10_03_10_24_13 - time taken: 19.01016092300415 
# SF, SNR, error count, simulated symbols, SER
7.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+05,0.000000000000000000e+00
7.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+05,0.000000000000000000e+00
7.000000000000000000e+00,-6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+05,1.000000000000000082e-05
7.000000000000000000e+00,-7.000000000000000000e+00,2.300000000000000000e+01,1.000000000000000000e+05,2.300000000000000070e-04
7.000000000000000000e+00,-8.000000000000000000e+00,1.700000000000000000e+02,1.000000000000000000e+05,1.699999999999999905e-03
7.000000000000000000e+00,-9.000000000000000000e+00,1.012000000000000000e+03,1.000000000000000000e+05,1.012000000000000052e-02
7.000000000000000000e+00,-1.000000000000000000e+01,3.755000000000000000e+03,1.000000000000000000e+05,3.755000000000000004e-02
7.000000000000000000e+00,-1.100000000000000000e+01,9.964000000000000000e+03,1.000000000000000000e+05,9.964000000000000634e-02
7.000000000000000000e+00,-1.200000000000000000e+01,2.024700000000000000e+04,1.000000000000000000e+05,2.024700000000000111e-01
7.000000000000000000e+00,-1.300000000000000000e+01,3.341700000000000000e+04,1.000000000000000000e+05,3.341700000000000226e-01
7.000000000000000000e+00,-1.400000000000000000e+01,4.715700000000000000e+04,1.000000000000000000e+05,4.715699999999999892e-01
7.000000000000000000e+00,-1.500000000000000000e+01,5.946100000000000000e+04,1.000000000000000000e+05,5.946099999999999719e-01
7.000000000000000000e+00,-1.600000000000000000e+01,6.964900000000000000e+04,1.000000000000000000e+05,6.964900000000000535e-01
