# Test done: 2024_11_27_12_13_35 - time taken: 116.16879320144653 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.872760000000000000e+06,1.000000000000000000e+07,9.872760000000000424e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.839276000000000000e+06,1.000000000000000000e+07,9.839276000000000133e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.274697000000000000e+06,1.000000000000000000e+07,9.274696999999999525e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.790008000000000000e+06,1.000000000000000000e+07,7.790008000000000488e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.530883000000000000e+06,1.000000000000000000e+07,4.530882999999999994e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.516195000000000000e+06,1.000000000000000000e+07,1.516194999999999904e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.308530000000000000e+05,1.000000000000000000e+07,3.308529999999999804e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.786200000000000000e+04,1.000000000000000000e+07,4.786200000000000003e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.061000000000000000e+03,1.000000000000000000e+07,5.060999999999999961e-04
7.000000000000000000e+00,8.000000000000000000e+00,9.460000000000000000e+02,1.000000000000000000e+07,9.459999999999999551e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.340000000000000000e+02,1.000000000000000000e+07,2.339999999999999958e-05
