# Test done: 2024_11_27_12_41_17 - time taken: 113.48284530639648 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.868181000000000000e+06,1.000000000000000000e+07,9.868181000000000314e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.838442000000000000e+06,1.000000000000000000e+07,9.838441999999999465e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.304729000000000000e+06,1.000000000000000000e+07,9.304729000000000472e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.591140000000000000e+06,1.000000000000000000e+07,7.591139999999999555e-01
7.000000000000000000e+00,-2.000000000000000000e+00,3.678876000000000000e+06,1.000000000000000000e+07,3.678875999999999813e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.320386000000000000e+06,1.000000000000000000e+07,1.320386000000000060e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.399350000000000000e+05,1.000000000000000000e+07,2.399350000000000094e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.524100000000000000e+04,1.000000000000000000e+07,4.524099999999999649e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.378000000000000000e+03,1.000000000000000000e+07,5.377999999999999534e-04
7.000000000000000000e+00,8.000000000000000000e+00,1.123000000000000000e+03,1.000000000000000000e+07,1.123000000000000056e-04
7.000000000000000000e+00,1.000000000000000000e+01,2.570000000000000000e+02,1.000000000000000000e+07,2.570000000000000127e-05
