# Test done: 2024_11_27_10_02_50 - time taken: 114.59053444862366 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.872556000000000000e+06,1.000000000000000000e+07,9.872556000000000109e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.828764000000000000e+06,1.000000000000000000e+07,9.828763999999999834e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.311600000000000000e+06,1.000000000000000000e+07,9.311599999999999877e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.543727000000000000e+06,1.000000000000000000e+07,7.543727000000000071e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.670046000000000000e+06,1.000000000000000000e+07,4.670045999999999919e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.412072000000000000e+06,1.000000000000000000e+07,1.412072000000000049e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.640820000000000000e+05,1.000000000000000000e+07,2.640819999999999973e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.999800000000000000e+04,1.000000000000000000e+07,4.999800000000000424e-03
7.000000000000000000e+00,6.000000000000000000e+00,6.299000000000000000e+03,1.000000000000000000e+07,6.298999999999999695e-04
7.000000000000000000e+00,8.000000000000000000e+00,9.550000000000000000e+02,1.000000000000000000e+07,9.550000000000000383e-05
7.000000000000000000e+00,1.000000000000000000e+01,1.950000000000000000e+02,1.000000000000000000e+07,1.949999999999999965e-05
