# Test done: 2024_11_27_09_47_49 - time taken: 81.38123416900635 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.883144000000000000e+06,1.000000000000000000e+07,9.883144000000000373e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.814812000000000000e+06,1.000000000000000000e+07,9.814812000000000536e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.212338000000000000e+06,1.000000000000000000e+07,9.212337999999999916e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.455174000000000000e+06,1.000000000000000000e+07,7.455173999999999968e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.339061000000000000e+06,1.000000000000000000e+07,4.339061000000000168e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.591205000000000000e+06,1.000000000000000000e+07,1.591204999999999981e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.514330000000000000e+05,1.000000000000000000e+07,3.514330000000000231e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.645900000000000000e+04,1.000000000000000000e+07,6.645899999999999724e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.164500000000000000e+04,1.000000000000000000e+07,1.164499999999999954e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.737000000000000000e+03,1.000000000000000000e+07,2.736999999999999850e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.022000000000000000e+03,1.000000000000000000e+07,1.022000000000000041e-04
