# Test done: 2024_11_27_13_21_06 - time taken: 71.05987906455994 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.875266000000000000e+06,1.000000000000000000e+07,9.875266000000000322e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.823493000000000000e+06,1.000000000000000000e+07,9.823492999999999808e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.241442000000000000e+06,1.000000000000000000e+07,9.241441999999999712e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.163474000000000000e+06,1.000000000000000000e+07,7.163473999999999675e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.119941000000000000e+06,1.000000000000000000e+07,4.119940999999999742e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.647485000000000000e+06,1.000000000000000000e+07,1.647484999999999922e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.922760000000000000e+05,1.000000000000000000e+07,2.922759999999999941e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.067200000000000000e+04,1.000000000000000000e+07,4.067199999999999982e-03
7.000000000000000000e+00,6.000000000000000000e+00,6.340000000000000000e+03,1.000000000000000000e+07,6.340000000000000149e-04
7.000000000000000000e+00,8.000000000000000000e+00,1.055000000000000000e+03,1.000000000000000000e+07,1.055000000000000030e-04
7.000000000000000000e+00,1.000000000000000000e+01,2.410000000000000000e+02,1.000000000000000000e+07,2.409999999999999965e-05
