# Test done: 2024_11_27_12_47_00 - time taken: 73.01516580581665 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.874065000000000000e+06,1.000000000000000000e+07,9.874064999999999648e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.806516000000000000e+06,1.000000000000000000e+07,9.806515999999999567e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.214768000000000000e+06,1.000000000000000000e+07,9.214767999999999848e-01
7.000000000000000000e+00,-4.000000000000000000e+00,6.985260000000000000e+06,1.000000000000000000e+07,6.985259999999999803e-01
7.000000000000000000e+00,-2.000000000000000000e+00,3.975719000000000000e+06,1.000000000000000000e+07,3.975718999999999781e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.450988000000000000e+06,1.000000000000000000e+07,1.450988000000000000e-01
7.000000000000000000e+00,2.000000000000000000e+00,3.674710000000000000e+05,1.000000000000000000e+07,3.674709999999999782e-02
7.000000000000000000e+00,4.000000000000000000e+00,6.108300000000000000e+04,1.000000000000000000e+07,6.108299999999999667e-03
7.000000000000000000e+00,6.000000000000000000e+00,1.124000000000000000e+04,1.000000000000000000e+07,1.123999999999999999e-03
7.000000000000000000e+00,8.000000000000000000e+00,2.678000000000000000e+03,1.000000000000000000e+07,2.678000000000000042e-04
7.000000000000000000e+00,1.000000000000000000e+01,1.031000000000000000e+03,1.000000000000000000e+07,1.030999999999999988e-04
