# Test done: 2024_12_04_10_26_57 - time taken: 82.19843196868896 
# SF, SIR, error count, simulated symbols, SER
7.000000000000000000e+00,-1.000000000000000000e+01,9.871533000000000000e+06,1.000000000000000000e+07,9.871533000000000113e-01
7.000000000000000000e+00,-8.000000000000000000e+00,9.821951000000000000e+06,1.000000000000000000e+07,9.821950999999999876e-01
7.000000000000000000e+00,-6.000000000000000000e+00,9.191790000000000000e+06,1.000000000000000000e+07,9.191789999999999683e-01
7.000000000000000000e+00,-4.000000000000000000e+00,7.222011000000000000e+06,1.000000000000000000e+07,7.222011000000000402e-01
7.000000000000000000e+00,-2.000000000000000000e+00,4.143918000000000000e+06,1.000000000000000000e+07,4.143917999999999768e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.330150000000000000e+06,1.000000000000000000e+07,1.330149999999999944e-01
7.000000000000000000e+00,2.000000000000000000e+00,2.662220000000000000e+05,1.000000000000000000e+07,2.662219999999999864e-02
7.000000000000000000e+00,4.000000000000000000e+00,4.241300000000000000e+04,1.000000000000000000e+07,4.241299999999999931e-03
7.000000000000000000e+00,6.000000000000000000e+00,5.872000000000000000e+03,1.000000000000000000e+07,5.871999999999999616e-04
7.000000000000000000e+00,8.000000000000000000e+00,9.840000000000000000e+02,1.000000000000000000e+07,9.840000000000000656e-05
7.000000000000000000e+00,1.000000000000000000e+01,2.280000000000000000e+02,1.000000000000000000e+07,2.279999999999999854e-05
